Wavelength,Flux,BestFit,SkyFlux
4025.316,10.031,12.938,7.016
4026.243,11.131,12.899,6.716
4027.170,12.593,12.849,6.343
4028.098,13.099,12.803,6.194
4029.025,12.581,12.777,6.763
4029.953,12.356,12.779,6.683
4030.881,13.029,12.804,6.394
4031.809,12.816,12.848,6.156
4032.738,11.742,12.897,6.042
4033.667,12.103,12.942,5.723
4034.596,12.679,12.975,5.763
4035.525,12.679,12.994,5.790
4036.454,13.085,12.999,5.990
4037.383,14.385,12.989,6.392
4038.313,11.921,12.962,6.704
4039.243,13.976,12.917,6.475
4040.173,13.517,12.859,6.741
4041.104,11.656,12.806,7.368
4042.034,13.030,12.769,7.984
4042.965,11.977,12.752,9.070
4043.896,12.498,12.752,9.470
4044.827,12.924,12.770,9.584
4045.759,13.286,12.799,11.136
4046.691,13.039,12.820,14.757
4047.622,12.079,12.820,17.136
4048.555,12.538,12.799,15.791
4049.487,13.684,12.761,11.782
4050.419,13.312,12.716,9.266
4051.352,13.828,12.672,8.668
4052.285,13.716,12.641,8.117
4053.218,11.544,12.626,7.193
4054.152,12.120,12.629,7.051
4055.085,12.607,12.640,7.840
4056.019,12.136,12.646,7.945
4056.953,13.167,12.637,6.680
4057.887,12.768,12.615,5.776
4058.822,9.951,12.586,6.428
4059.757,12.626,12.553,7.576
4060.692,11.977,12.517,7.890
4061.627,11.740,12.487,7.977
4062.562,12.413,12.473,7.812
4063.498,12.515,12.477,8.392
4064.433,11.705,12.484,9.468
4065.369,11.597,12.479,10.875
4066.305,11.038,12.458,10.653
4067.242,11.966,12.430,9.824
4068.178,13.354,12.404,8.961
4069.115,13.977,12.376,9.052
4070.052,13.650,12.340,9.531
4070.990,12.974,12.293,8.867
4071.927,12.771,12.241,8.626
4072.865,11.608,12.193,8.221
4073.803,12.346,12.152,7.303
4074.741,12.664,12.121,7.134
4075.679,11.009,12.104,8.364
4076.618,13.830,12.102,9.781
4077.557,13.097,12.110,10.158
4078.496,12.272,12.114,9.480
4079.435,12.312,12.100,8.314
4080.374,12.064,12.068,8.699
4081.314,11.656,12.027,9.053
4082.254,13.172,11.983,8.952
4083.194,12.412,11.940,7.802
4084.134,12.130,11.897,7.397
4085.075,12.315,11.855,7.187
4086.015,12.140,11.810,7.738
4086.956,11.679,11.760,8.105
4087.898,11.709,11.697,7.876
4088.839,11.390,11.617,7.324
4089.781,10.775,11.520,6.706
4090.722,10.876,11.410,6.715
4091.664,11.614,11.286,6.698
4092.607,12.088,11.150,6.854
4093.549,11.931,10.999,6.648
4094.492,11.106,10.827,6.341
4095.435,10.330,10.641,6.245
4096.378,10.403,10.457,6.105
4097.321,10.630,10.303,5.908
4098.265,10.139,10.203,6.091
4099.208,9.993,10.175,6.380
4100.152,10.799,10.219,6.304
4101.097,11.144,10.325,5.849
4102.041,10.408,10.473,5.170
4102.986,9.800,10.641,4.711
4103.931,10.530,10.805,4.672
4104.876,11.504,10.950,4.551
4105.821,11.863,11.075,4.664
4106.766,11.859,11.181,5.033
4107.712,12.238,11.276,5.646
4108.658,12.635,11.362,6.105
4109.604,12.234,11.444,6.042
4110.551,11.715,11.524,5.916
4111.497,13.048,11.598,5.795
4112.444,12.657,11.660,5.072
4113.391,11.273,11.707,5.196
